occurrenceID,verbatimLocality,verbatimSex,weight,decimalLongitude,decimalLatitude,species_ID,day,month,year,name
16785,7,F,9.0,-109.0828159999964,31.938113000000413,2437874.0,4,12,1989,Reithrodontomys megalotis
16786,1,F,53.0,-109.0828289999964,31.938851000000387,2439541.0,4,12,1989,Dipodomys ordii
16787,19,F,9.0,-109.07791199999636,31.937438000000437,2437874.0,4,12,1989,Reithrodontomys megalotis
16788,17,F,13.0,-109.07941499999636,31.937117000000445,2437874.0,4,12,1989,Reithrodontomys megalotis
16789,1,M,56.0,-109.0828289999964,31.938851000000387,2439541.0,4,12,1989,Dipodomys ordii
16790,22,F,32.0,-109.07860199999637,31.93644100000042,2439584.0,4,12,1989,Perognathus hispidus
16791,23,F,10.0,-109.07783799999636,31.93676300000042,2437874.0,4,12,1989,Reithrodontomys megalotis
16792,21,F,12.0,-109.07939799999636,31.936448000000453,2437874.0,4,12,1989,Reithrodontomys megalotis
16793,21,F,13.0,-109.07939799999636,31.936448000000453,2437874.0,4,12,1989,Reithrodontomys megalotis
16794,18,M,14.0,-109.07863299999636,31.93712600000041,2437874.0,4,12,1989,Reithrodontomys megalotis
16795,7,M,6.0,-109.0828159999964,31.938113000000413,2437874.0,4,12,1989,Reithrodontomys megalotis
16796,21,M,9.0,-109.07939799999636,31.936448000000453,2437874.0,4,12,1989,Reithrodontomys megalotis
16797,17,F,158.0,-109.07941499999636,31.937117000000445,,4,12,1989,
16798,7,M,19.0,-109.0828159999964,31.938113000000413,2437981.0,4,12,1989,Peromyscus eremicus
16799,6,F,11.0,-109.07883599999636,31.93907800000041,2437874.0,4,12,1989,Reithrodontomys megalotis
16800,24,F,14.0,-109.07773599999636,31.938560000000447,2437864.0,4,12,1989,Reithrodontomys fulvescens
16801,19,F,10.0,-109.07791199999636,31.937438000000437,2437874.0,4,12,1989,Reithrodontomys megalotis
16802,17,M,21.0,-109.07941499999636,31.937117000000445,2437981.0,4,12,1989,Peromyscus eremicus
16803,18,M,18.0,-109.07863299999636,31.93712600000041,2437981.0,4,12,1989,Peromyscus eremicus
16804,3,M,24.0,-109.0812079999964,31.938896000000387,2438516.0,5,12,1989,Onychomys torridus
16805,4,F,9.0,-109.0804089999964,31.93889400000041,2437874.0,5,12,1989,Reithrodontomys megalotis
16806,9,M,49.0,-109.08090299999638,31.93785900000039,2439541.0,5,12,1989,Dipodomys ordii
16807,8,F,6.0,-109.0816799999964,31.9378840000004,2437874.0,5,12,1989,Reithrodontomys megalotis
16808,16,M,9.0,-109.08024399999636,31.93709400000041,2437874.0,5,12,1989,Reithrodontomys megalotis
16809,10,,,-109.08009099999636,31.938017000000425,2491757.0,5,12,1989,Amphispiza bilineata
16810,13,F,14.0,-109.0826129999964,31.93702800000044,2437864.0,5,12,1989,Reithrodontomys fulvescens
16811,15,M,14.0,-109.08103599999642,31.937059000000463,2437981.0,5,12,1989,Peromyscus eremicus
16812,3,F,7.0,-109.0812079999964,31.938896000000387,2437874.0,5,12,1989,Reithrodontomys megalotis
16813,10,F,12.0,-109.08009099999636,31.938017000000425,2437874.0,5,12,1989,Reithrodontomys megalotis
16814,14,M,40.0,-109.0818269999964,31.937054000000447,2439521.0,5,12,1989,Dipodomys merriami
